product_category_name_english,order_year,order_month,category_items,category_orders,category_gmv,category_freight
construction_tools_construction,2017,2017-02,3,3,336.79,56.78
construction_tools_safety,2017,2017-02,1,1,379.0,17.86
cool_stuff,2017,2017-02,65,64,9111.699999999993,1275.8299999999997
costruction_tools_garden,2017,2017-02,2,1,579.98,44.7
dvds_blu_ray,2017,2017-02,1,1,14.9,20.8
electronics,2017,2017-02,19,14,1218.8500000000001,336.65000000000003
fashio_female_clothing,2017,2017-02,4,4,457.8,61.97
fashion_bags_accessories,2017,2017-02,39,35,2374.110000000001,576.1399999999999
fashion_male_clothing,2017,2017-02,7,7,642.85,120.17
fashion_shoes,2017,2017-02,3,2,107.05000000000001,50.32000000000001
fashion_underwear_beach,2017,2017-02,8,6,396.97,110.86
fixed_telephony,2017,2017-02,22,18,759.23,365.6600000000001
food,2017,2017-02,9,9,715.63,214.57
furniture_bedroom,2017,2017-02,1,1,450.0,51.88
furniture_decor,2017,2017-02,262,218,20107.21,4949.630000000002
furniture_living_room,2017,2017-02,22,14,2995.629999999999,798.4499999999999
garden_tools,2017,2017-02,69,60,9805.609999999991,1408.3299999999988
health_beauty,2017,2017-02,163,152,20638.790000000026,2791.9299999999994
home_appliances,2017,2017-02,7,7,740.9,114.50000000000001
home_appliances_2,2017,2017-02,1,1,15.99,14.12
home_confort,2017,2017-02,3,3,414.65999999999997,56.61
home_construction,2017,2017-02,4,3,695.6,68.97
housewares,2017,2017-02,80,67,5924.6699999999955,1353.5100000000004
industry_commerce_and_business,2017,2017-02,1,1,119.0,15.94
kitchen_dining_laundry_garden_furniture,2017,2017-02,2,2,139.9,38.43
luggage_accessories,2017,2017-02,21,20,1694.1800000000005,441.98
market_place,2017,2017-02,22,19,1688.2200000000005,434.28000000000003
musical_instruments,2017,2017-02,7,6,725.0300000000001,148.04
office_furniture,2017,2017-02,59,49,8746.009999999995,1796.5800000000006
perfumery,2017,2017-02,51,49,8127.179999999992,817.1000000000001
pet_shop,2017,2017-02,39,36,3049.0800000000004,740.09
small_appliances,2017,2017-02,27,24,5361.579999999998,724.4
sports_leisure,2017,2017-02,153,136,14000.669999999986,2744.679999999998
stationery,2017,2017-02,19,19,2341.4000000000005,304.62999999999994
tablets_printing_image,2017,2017-02,8,8,792.0,148.52000000000004
telephony,2017,2017-02,110,99,5950.089999999993,1712.99
toys,2017,2017-02,63,58,4924.549999999999,1047.8
watches_gifts,2017,2017-02,33,31,6271.979999999999,510.24999999999983
NULL,2017,2017-02,57,51,5054.099999999999,994.0500000000001
agro_industry_and_commerce,2017,2017-03,2,2,81.99000000000001,28.7
air_conditioning,2017,2017-03,14,13,1643.9,233.65
art,2017,2017-03,5,5,223.25,97.59
audio,2017,2017-03,14,13,1134.77,232.62999999999997
auto,2017,2017-03,79,69,9480.169999999993,1593.0100000000007
baby,2017,2017-03,44,43,3724.08,762.25
bed_bath_table,2017,2017-03,287,247,24818.4700000001,4718.320000000005
books_general_interest,2017,2017-03,25,20,2648.96,438.59999999999997
books_technical,2017,2017-03,2,2,75.0,28.740000000000002
computers_accessories,2017,2017-03,167,143,16196.539999999974,2889.0
consoles_games,2017,2017-03,46,44,8178.269999999997,728.8099999999998
construction_tools_construction,2017,2017-03,4,4,773.4,122.02000000000001
construction_tools_safety,2017,2017-03,2,2,380.0,45.760000000000005
cool_stuff,2017,2017-03,119,117,17726.40999999999,2096.06
drinks,2017,2017-03,5,4,463.87,104.56
dvds_blu_ray,2017,2017-03,4,3,453.69999999999993,71.5
electronics,2017,2017-03,37,32,3986.0000000000005,669.1600000000001
fashio_female_clothing,2017,2017-03,1,1,19.9,10.96
fashion_bags_accessories,2017,2017-03,68,62,4861.159999999998,1032.1699999999998
fashion_male_clothing,2017,2017-03,9,7,580.8,140.56
fashion_shoes,2017,2017-03,14,13,1515.0,231.18000000000006
fashion_sport,2017,2017-03,1,1,39.9,14.11
fashion_underwear_beach,2017,2017-03,6,6,394.14,66.48
fixed_telephony,2017,2017-03,21,15,1592.3500000000001,326.78000000000003
food,2017,2017-03,24,22,2667.5600000000004,491.42999999999995
food_drink,2017,2017-03,5,5,110.80000000000001,58.09
furniture_decor,2017,2017-03,325,262,22946.660000000058,5752.45000000001
furniture_living_room,2017,2017-03,24,17,3324.0,711.67
garden_tools,2017,2017-03,143,114,13198.149999999976,2798.8700000000003
health_beauty,2017,2017-03,208,190,23855.250000000036,3405.240000000003
home_appliances,2017,2017-03,10,9,313.29999999999995,152.95
home_appliances_2,2017,2017-03,2,2,500.9,67.53
home_comfort_2,2017,2017-03,3,3,342.88,48.010000000000005
home_confort,2017,2017-03,13,12,2123.4000000000005,257.39
home_construction,2017,2017-03,10,5,591.96,126.73
housewares,2017,2017-03,203,177,13351.819999999969,3601.2200000000003
industry_commerce_and_business,2017,2017-03,2,2,238.0,44.03
kitchen_dining_laundry_garden_furniture,2017,2017-03,3,3,113.98,55.07000000000001
luggage_accessories,2017,2017-03,29,26,3654.2800000000007,706.5899999999998
market_place,2017,2017-03,17,17,1808.5900000000001,267.37000000000006
music,2017,2017-03,1,1,27.99,14.52
musical_instruments,2017,2017-03,10,9,1667.33,220.18
office_furniture,2017,2017-03,71,55,9363.989999999994,2030.51
perfumery,2017,2017-03,106,104,19808.13,1787.2699999999993
pet_shop,2017,2017-03,42,38,4264.0599999999995,667.34
signaling_and_security,2017,2017-03,1,1,75.0,16.23
small_appliances,2017,2017-03,24,24,4181.070000000001,564.1899999999999
sports_leisure,2017,2017-03,193,165,19645.690000000006,3778.2800000000007
stationery,2017,2017-03,56,56,5902.619999999999,1092.27
tablets_printing_image,2017,2017-03,5,5,495.0,92.91000000000001
telephony,2017,2017-03,172,159,8121.04999999998,2610.9100000000008
toys,2017,2017-03,97,94,8599.979999999985,1709.5999999999995
watches_gifts,2017,2017-03,71,66,10967.42,1079.6399999999999
NULL,2017,2017-03,62,56,5714.269999999999,1055.7500000000002
air_conditioning,2017,2017-04,15,13,1782.2800000000002,275.13
art,2017,2017-04,1,1,119.9,27.27
audio,2017,2017-04,11,9,942.1999999999999,161.75000000000003
auto,2017,2017-04,81,74,11518.279999999993,1683.9
baby,2017,2017-04,51,48,3980.4500000000007,882.4000000000001
bed_bath_table,2017,2017-04,272,232,22332.790000000055,4497.09
books_general_interest,2017,2017-04,12,12,923.3799999999999,219.40999999999997
books_imported,2017,2017-04,1,1,19.99,13.44
books_technical,2017,2017-04,1,1,75.0,11.92
christmas_supplies,2017,2017-04,1,1,69.0,24.97
cine_photo,2017,2017-04,2,2,118.0,48.31
computers_accessories,2017,2017-04,130,114,12859.65999999999,2285.9500000000003
consoles_games,2017,2017-04,15,13,1473.0899999999997,230.58000000000004
cool_stuff,2017,2017-04,114,112,14698.279999999984,2024.4800000000005
costruction_tools_garden,2017,2017-04,8,7,1490.2100000000005,190.36
drinks,2017,2017-04,7,2,199.93,129.24
dvds_blu_ray,2017,2017-04,1,1,14.9,15.86
electronics,2017,2017-04,46,46,3322.4399999999996,747.35
fashio_female_clothing,2017,2017-04,1,1,64.9,22.84
fashion_bags_accessories,2017,2017-04,50,46,3219.8,776.9299999999998
fashion_male_clothing,2017,2017-04,7,6,416.68999999999994,87.94
fashion_shoes,2017,2017-04,23,20,1526.5000000000002,419.87
fashion_sport,2017,2017-04,4,4,189.78,54.69
fashion_underwear_beach,2017,2017-04,4,4,98.79,60.879999999999995
fixed_telephony,2017,2017-04,11,7,2998.33,170.44
food,2017,2017-04,8,8,491.3,119.85
food_drink,2017,2017-04,3,2,47.9,32.88
furniture_bedroom,2017,2017-04,4,3,668.97,126.86
furniture_decor,2017,2017-04,197,164,18696.73,3829.41
furniture_living_room,2017,2017-04,11,10,1574.3400000000001,339.76
furniture_mattress_and_upholstery,2017,2017-04,1,1,109.4,21.4
garden_tools,2017,2017-04,115,95,15982.379999999988,2466.3000000000006
health_beauty,2017,2017-04,186,173,20505.750000000025,3177.6799999999994
home_appliances,2017,2017-04,10,9,499.40000000000003,136.17000000000002
home_comfort_2,2017,2017-04,1,1,12.9,10.96
home_confort,2017,2017-04,17,16,2411.100000000001,301.85
home_construction,2017,2017-04,5,5,1602.69,94.24999999999999
housewares,2017,2017-04,181,142,13179.139999999972,3204.43
kitchen_dining_laundry_garden_furniture,2017,2017-04,9,8,1033.3999999999999,248.7
la_cuisine,2017,2017-04,1,1,24.0,10.81
luggage_accessories,2017,2017-04,44,42,5790.699999999997,1097.84
market_place,2017,2017-04,19,19,2126.18,300.28000000000003
music,2017,2017-04,2,2,59.8,29.04
musical_instruments,2017,2017-04,16,16,3818.4300000000003,295.84
office_furniture,2017,2017-04,57,47,8561.31,1698.1300000000003
perfumery,2017,2017-04,105,101,19891.110000000004,1757.87
pet_shop,2017,2017-04,50,45,5372.989999999999,917.83
signaling_and_security,2017,2017-04,3,3,128.06,55.59
small_appliances,2017,2017-04,13,13,1839.99,279.03000000000003
sports_leisure,2017,2017-04,213,193,22163.94000000002,3793.2999999999984
stationery,2017,2017-04,35,35,3907.3400000000015,575.3600000000001
tablets_printing_image,2017,2017-04,11,9,1112.88,199.35000000000002
telephony,2017,2017-04,145,141,7245.869999999984,2278.0999999999985
toys,2017,2017-04,110,100,10919.549999999987,1794.809999999999
watches_gifts,2017,2017-04,87,80,11625.319999999996,1448.0400000000002
NULL,2017,2017-04,68,60,5227.0099999999975,1156.8899999999992
agro_industry_and_commerce,2017,2017-05,2,2,119.98,29.0
air_conditioning,2017,2017-05,8,7,1016.77,169.92
art,2017,2017-05,7,7,468.65,170.64000000000001
arts_and_craftmanship,2017,2017-05,1,1,21.99,7.67
audio,2017,2017-05,17,17,2081.1800000000003,252.01000000000002
auto,2017,2017-05,117,98,11878.35999999999,2414.04
baby,2017,2017-05,107,101,9049.519999999991,1855.789999999999
bed_bath_table,2017,2017-05,367,327,32301.8900000002,6144.430000000006
books_general_interest,2017,2017-05,20,19,1841.5700000000004,357.6
books_technical,2017,2017-05,3,3,262.0,54.46
cine_photo,2017,2017-05,1,1,59.0,32.71
computers_accessories,2017,2017-05,307,250,32765.000000000084,5231.119999999999
consoles_games,2017,2017-05,29,26,2507.1999999999994,440.03999999999996
construction_tools_construction,2017,2017-05,1,1,99.99,49.41
cool_stuff,2017,2017-05,243,232,30854.470000000143,4375.389999999998
costruction_tools_garden,2017,2017-05,8,6,1577.2400000000002,229.30999999999997
costruction_tools_tools,2017,2017-05,1,1,74.9,11.13
drinks,2017,2017-05,1,1,90.0,22.95
dvds_blu_ray,2017,2017-05,4,4,89.6,61.0
electronics,2017,2017-05,66,60,5843.559999999996,1092.69
fashio_female_clothing,2017,2017-05,5,5,422.4,63.230000000000004
fashion_bags_accessories,2017,2017-05,109,96,6599.669999999986,1648.0099999999986
fashion_childrens_clothes,2017,2017-05,1,1,110.0,14.52
fashion_male_clothing,2017,2017-05,4,3,608.9,67.31
fashion_shoes,2017,2017-05,22,22,1669.5400000000006,345.3500000000001
fashion_sport,2017,2017-05,3,3,124.84,54.64
fashion_underwear_beach,2017,2017-05,7,6,283.5,85.76
fixed_telephony,2017,2017-05,10,10,462.33000000000004,145.29999999999998
food,2017,2017-05,3,3,387.9,64.35
food_drink,2017,2017-05,17,12,416.28999999999996,214.11999999999995
furniture_bedroom,2017,2017-05,9,6,2369.9699999999993,288.98
furniture_decor,2017,2017-05,272,229,21855.820000000025,5086.029999999997
furniture_living_room,2017,2017-05,32,27,3944.5299999999993,1052.89
furniture_mattress_and_upholstery,2017,2017-05,2,2,195.9,53.29
garden_tools,2017,2017-05,135,118,16907.559999999987,3065.63
health_beauty,2017,2017-05,278,257,34446.02000000012,4518.439999999998
home_appliances,2017,2017-05,28,28,1912.7900000000004,458.2400000000001
home_appliances_2,2017,2017-05,7,7,1138.8500000000001,204.16
home_confort,2017,2017-05,37,34,5293.869999999999,601.3000000000001
home_construction,2017,2017-05,7,5,1620.5,111.1
housewares,2017,2017-05,307,264,21726.480000000047,5319.120000000001
industry_commerce_and_business,2017,2017-05,2,2,519.8,32.42
kitchen_dining_laundry_garden_furniture,2017,2017-05,9,9,1304.4800000000002,332.73
la_cuisine,2017,2017-05,1,1,193.0,39.19
luggage_accessories,2017,2017-05,62,56,7954.419999999992,1568.9599999999996
market_place,2017,2017-05,22,21,2476.9800000000005,382.29999999999995
musical_instruments,2017,2017-05,16,14,3007.5600000000004,294.2199999999999
office_furniture,2017,2017-05,54,40,7843.4499999999925,1446.5099999999998
perfumery,2017,2017-05,145,134,20119.040000000023,2278.2300000000014
pet_shop,2017,2017-05,70,63,5224.79,1236.2599999999995
signaling_and_security,2017,2017-05,2,2,80.85000000000001,61.209999999999994
small_appliances,2017,2017-05,15,13,2702.4399999999996,322.82000000000005
sports_leisure,2017,2017-05,307,257,27383.72000000006,5421.979999999995
